S.no,F,L,W,b,Mag(db)
1,2.16,28.4,66.5,3,-38.86
2,2.113,28,68,3,-20.3
3,2.32,29,68,3,-25.1
4,2.165,29,66.5,6,-22.9
5,1.025,68,90,10,-32
6,1.1,63,90,6,-39.4
7,1.06,65,90,6,-39.62
8,1.085,64,90,6,-42.3
9,1.05,66,90,6,-35.44
10,1.024,68,86,6,-28
11,3,23,40,3,-21.6
12,1.814,46,78,8,-42.5
13,1.81,49,78,8,-23.9
14,4,16.87,30,3,-42.4
15,4.1,16.4,30,3,-21.55
16,3.94,17.2,30,3,-30.8
17,3.89,17.4,30,2.7,-21.41
18,3.88,17.4,32,2.7,-28.3
19,2.01,34,64,3,-21.78
20,1.81,38,64,3,-32.3
21,1.86,37,64,3,-42.8
22,1.9,36,64,3,-36.18
23,4.55,15,26,2.5,-26.86
24,4.56,15,25.5,2.5,-21.42
25,4.63,14.7,26,2.5,-28.79
26,4.71,14.4,26,2.5,-25.2
27,4.63,14.4,26,2.6,-47.5
28,2.12,28.4,68,7.5,-29.84
29,2.4,29,38,6,-20.8
30,1.265,55,78,8,-30.55
31,1.1,63,78,8,-43.4
32,1.22,57,78,8,-33.5
33,1.18,59,78,8,-39
34,1.14,61,78,8,-43.6
35,1.414,49,78,8,-21.2
36,1.36,51,78,8,-23.98
37,1.31,53,78,8,-26.91
38,1.5,46,80,6,-20.56
39,1.497,46,80,3,-26.81
40,1.5,46,70,8,-25.5
41,1.68,41,70,6,-22.56
42,1.6,43,70,6,-28.7
43,1.53,45,70,6,-39.05
44,1.86,37,64,5,-23.43
45,1.61,43,64,5,-26
46,5.2,13,21.5,2.5,-22.24
47,5.18,13,22,2.5,-28.25
48,4.67,14.5,24,3,-28.33
49,4.818,14,24,3,-27.56
50,4.7,14.4,24,3,-32.65
51,4.59,14.8,24,3,-21.95
52,4.67,13.5,22,2.5,-28.33
53,5.15,13.1,22,2.5,-25.26
54,5.12,13.2,22,2.5,-23.2
55,5.05,13.4,22,2.5,-20.29
56,5.034,13.4,22,3,-44.8
57,5,13.55,22,3,-32.43
58,4.95,13.7,22,3,-26.98
59,4.9,13.85,22,3,-23.54
60,5.367,12.5,21,3,-23
61,5.485,12.2,20.6,3,-20.38
62,5.45,12.3,20.6,3,-22.55
63,5.41,12.4,20.6,3,-25.2
64,5.34,12.6,20.6,3,-34.59
65,6.05,10.5,33,1.6,-31.21
66,6.315,10,33,1.6,-21.76
67,6.26,10.1,33,1.6,-23.047
68,6.21,10.2,33,1.6,-24.5
69,6.1,10.4,33,1.6,-28.42
70,5.975,10.7,33,1.6,-40.1
71,5.88,10.9,33,1.6,-39.8
72,5.83,11,33,1.6,-33.98
73,7.82,8.4,15.4,1.2,-37.78
74,7.79,8.4,15.6,1.2,-25.85
75,7.68,8.6,15.6,1.2,-26.58
76,7.62,8.7,15.4,1.2,-20.37
77,8.16,8,14.8,1.2,-23.1
78,8.22,7.9,14.7,1.2,-21.28
79,10.44,6.5,9.2,1.8,-42.9
80,10.34,6.6,9.2,1.8,-25.94
81,9.78,7,9.7,1.9,-24.13
82,9.97,6.8,9.7,1.9,-33.68
83,9.88,6.9,9.7,1.9,-33.1
84,9.7,7.1,9.7,1.9,-20
85,9.57,7.2,9.7,2,-21.8
86,9.353,7.4,9.7,2.1,-20
87,9.23,7.5,9.7,2.2,-21.98
88,9.16,7.5,10,2.2,-28.94
89,8.95,7.7,10.2,2.2,-21.62
